# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 9508675690
#
# Overhead  Command    Shared Object     Symbol                                        
# ........  .........  ................  ..............................................
#
    73.92%  lab2_list  lab2_list         [.] thread_run_list_test
    11.85%  lab2_list  libc.so.6         [.] __strcmp_sse42
     6.15%  lab2_list  lab2_list         [.] SortedList_insert
     3.39%  lab2_list  lab2_list         [.] SortedList_lookup
     0.98%  lab2_list  [vdso]            [.] __vdso_clock_gettime
     0.33%  lab2_list  [kernel.vmlinux]  [k] asm_sysvec_apic_timer_interrupt
     0.31%  lab2_list  lab2_list         [.] strcmp@plt
     0.26%  lab2_list  [kernel.vmlinux]  [k] read_tsc
     0.21%  lab2_list  [kernel.vmlinux]  [k] perf_adjust_freq_unthr_context
     0.14%  lab2_list  [kernel.vmlinux]  [k] native_sched_clock
     0.12%  lab2_list  [kernel.vmlinux]  [k] zen_untrain_ret
     0.12%  lab2_list  [kernel.vmlinux]  [k] __hrtimer_run_queues
     0.09%  lab2_list  [kernel.vmlinux]  [k] trigger_load_balance
     0.09%  lab2_list  [kernel.vmlinux]  [k] native_irq_return_iret
     0.09%  lab2_list  [kernel.vmlinux]  [k] ktime_get_update_offsets_now
     0.08%  lab2_list  [kernel.vmlinux]  [k] perf_ibs_stop
     0.08%  lab2_list  libc.so.6         [.] __GI_____strtoll_l_internal
     0.07%  lab2_list  [kernel.vmlinux]  [k] stackleak_erase
     0.07%  lab2_list  [kernel.vmlinux]  [k] cpuacct_account_field
     0.05%  lab2_list  [kernel.vmlinux]  [k] update_curr
     0.05%  lab2_list  [kernel.vmlinux]  [k] rcu_sched_clock_irq
     0.05%  lab2_list  [kernel.vmlinux]  [k] __x86_indirect_thunk_array
     0.05%  lab2_list  [kernel.vmlinux]  [k] run_posix_cpu_timers
     0.05%  lab2_list  [kernel.vmlinux]  [k] __calc_delta
     0.04%  lab2_list  [kernel.vmlinux]  [k] __update_load_avg_cfs_rq
     0.04%  lab2_list  [kernel.vmlinux]  [k] __update_load_avg_se
     0.04%  lab2_list  [kernel.vmlinux]  [k] _raw_spin_lock
     0.04%  lab2_list  [kernel.vmlinux]  [k] _raw_spin_unlock
     0.03%  lab2_list  [kernel.vmlinux]  [k] irq_entries_start
     0.03%  lab2_list  [kernel.vmlinux]  [k] skb_release_data
     0.03%  lab2_list  libc.so.6         [.] _int_free
     0.03%  lab2_list  [kernel.vmlinux]  [k] swapgs_restore_regs_and_return_to_usermode
     0.03%  lab2_list  [kernel.vmlinux]  [k] arch_scale_freq_tick
     0.03%  lab2_list  [kernel.vmlinux]  [k] native_send_call_func_single_ipi
     0.03%  lab2_list  [kernel.vmlinux]  [k] _raw_spin_lock_irqsave
     0.03%  lab2_list  [kernel.vmlinux]  [k] tick_sched_timer
     0.03%  lab2_list  [kernel.vmlinux]  [k] update_process_times
     0.03%  lab2_list  [kernel.vmlinux]  [k] scheduler_tick
     0.02%  lab2_list  libc.so.6         [.] clock_gettime@@GLIBC_2.17
     0.02%  lab2_list  [kernel.vmlinux]  [k] exit_to_user_mode_prepare
     0.02%  lab2_list  [kernel.vmlinux]  [k] __napi_poll
     0.02%  lab2_list  [kernel.vmlinux]  [k] ktime_get
     0.02%  lab2_list  [kernel.vmlinux]  [k] asm_sysvec_irq_work
     0.02%  lab2_list  [kernel.vmlinux]  [k] psi_task_switch
     0.02%  lab2_list  [kernel.vmlinux]  [k] timekeeping_advance
     0.02%  lab2_list  [nf_conntrack]    [k] __nf_conntrack_find_get.isra.0
     0.02%  lab2_list  [kernel.vmlinux]  [k] __do_softirq
     0.02%  lab2_list  [kernel.vmlinux]  [k] clear_page_rep
     0.02%  lab2_list  [kernel.vmlinux]  [k] unmap_page_range
     0.01%  lab2_list  [kernel.vmlinux]  [k] rb_next
     0.01%  lab2_list  [kernel.vmlinux]  [k] note_gp_changes
     0.01%  lab2_list  [kernel.vmlinux]  [k] irq_exit_rcu
     0.01%  lab2_list  [kernel.vmlinux]  [k] update_load_avg
     0.01%  lab2_list  [kernel.vmlinux]  [k] __queue_work
     0.01%  lab2_list  [kernel.vmlinux]  [k] select_task_rq_fair
     0.01%  lab2_list  libc.so.6         [.] _int_malloc
     0.01%  lab2_list  [kernel.vmlinux]  [k] tcp_event_data_recv
     0.01%  lab2_list  libc.so.6         [.] __printf_buffer
     0.01%  lab2_list  [kernel.vmlinux]  [k] perf_pmu_nop_void
     0.01%  lab2_list  [kernel.vmlinux]  [k] tcp_rack_advance
     0.01%  lab2_list  [kernel.vmlinux]  [k] update_cfs_group
     0.01%  lab2_list  [kernel.vmlinux]  [k] tick_sched_handle
     0.01%  lab2_list  [kernel.vmlinux]  [k] tick_sched_do_timer
     0.01%  lab2_list  [kernel.vmlinux]  [k] native_apic_mem_write
